ccode,StateName
230,Spain
220,France
640,Ottoman Empire
365,Russia
70,Mexico
2,United States of America
337,Tuscany
325,Italy
300,Austria
332,Modena
255,Prussia
390,Denmark
220,France
329,Two Sicilies
300,Austria
327,Papal States
160,Argentina
140,Brazil
640,Turkey
325,Italy
220,France
200,United Kingdom
365,Russia
200,United Kingdom
630,Iran
325,Sardinia/Piedmont
300,Austria
220,France
600,Morocco
230,Spain
325,Sardinia/Piedmont
327,Papal States
329,Two Sicilies
325,Sardinia/Piedmont
70,Mexico
220,France
100,Colombia
130,Ecuador
255,Germany
390,Denmark
300,Austria
160,Argentina
150,Paraguay
140,Brazil
155,Chile
135,Peru
230,Spain
325,Italy
275,Hesse Grand Ducal
271,Wuerttemburg
245,Bavaria
300,Austria
255,Germany
280,Mecklenburg Schwerin
273,Hesse Electoral
269,Saxony
267,Baden
240,Hanover
271,Wuerttemburg
267,Baden
255,Germany
245,Bavaria
220,France
90,Guatemala
92,El Salvador
640,Turkey
365,Russia
155,Chile
135,Peru
145,Bolivia
651,Egypt
200,United Kingdom
220,France
710,China
92,El Salvador
90,Guatemala
710,China
740,Japan
350,Greece
640,Turkey
230,Spain
2,United States of America
365,Russia
740,Japan
2,United States of America
710,China
200,United Kingdom
220,France
365,Russia
710,China
740,Japan
365,Russia
91,Honduras
92,El Salvador
90,Guatemala
93,Nicaragua
92,El Salvador
91,Honduras
230,Spain
600,Morocco
325,Italy
640,Turkey
640,Turkey
350,Greece
355,Bulgaria
345,Yugoslavia
640,Turkey
345,Yugoslavia
350,Greece
355,Bulgaria
360,Romania
345,Yugoslavia
365,Russia
355,Bulgaria
200,United Kingdom
740,Japan
235,Portugal
640,Turkey
211,Belgium
255,Germany
350,Greece
360,Romania
300,Austria-Hungary
220,France
325,Italy
2,United States of America
366,Estonia
375,Finland
365,Russia
255,Germany
365,Russia
255,Germany
366,Estonia
367,Latvia
365,Russia
290,Poland
310,Hungary
315,Czechoslovakia
360,Romania
640,Turkey
350,Greece
640,Turkey
220,France
368,Lithuania
290,Poland
365,USSR
710,China
740,Japan
710,China
145,Bolivia
150,Paraguay
670,Saudi Arabia
678,Yemen Arab Republic
325,Italy
530,Ethiopia
710,China
740,Japan
365,USSR
740,Japan
365,USSR
712,Mongolia
740,Japan
310,Hungary
211,Belgium
220,France
345,Yugoslavia
375,Finland
385,Norway
20,Canada
2,United States of America
200,United Kingdom
210,Netherlands
325,Italy
360,Romania
360,Romania
355,Bulgaria
355,Bulgaria
350,Greece
140,Brazil
325,Italy
900,Australia
920,New Zealand
365,USSR
255,Germany
290,Poland
220,France
740,Japan
712,Mongolia
710,China
560,South Africa
530,Ethiopia
375,Finland
365,USSR
220,France
800,Thailand
750,India
770,Pakistan
666,Israel
651,Egypt
652,Syria
660,Lebanon
663,Jordan
645,Iraq
710,China
211,Belgium
20,Canada
100,Colombia
200,United Kingdom
210,Netherlands
350,Greece
220,France
640,Turkey
840,Philippines
800,Thailand
731,North Korea
530,Ethiopia
900,Australia
732,South Korea
2,United States of America
710,China
713,Taiwan
220,France
666,Israel
651,Egypt
200,United Kingdom
310,Hungary
365,USSR
220,France
230,Spain
600,Morocco
710,China (PRC)
713,Taiwan (ROC)
750,India
710,China (PRC)
2,United States of America
811,Cambodia
732,South Korea
840,Philippines
817,South Vietnam
816,Vietnam
800,Thailand
900,Australia
750,India
770,Pakistan
666,Israel
651,Egypt
663,Jordan
652,Syria
2,United States of America
800,Thailand
812,Laos
816,Vietnam
651,Egypt
666,Israel
91,Honduras
92,El Salvador
816,Vietnam
2,United States of America
811,Cambodia
817,South Vietnam
750,India
770,Pakistan
651,Egypt
670,Saudi Arabia
666,Israel
663,Jordan
652,Syria
645,Iraq
640,Turkey
352,Cyprus
40,Cuba
560,South Africa
490,Democratic Republic of the Congo
540,Angola
530,Ethiopia
40,Cuba
520,Somalia
816,Vietnam
811,Cambodia
500,Uganda
510,Tanzania
620,Libya
710,China
816,Vietnam
645,Iraq
630,Iran
200,United Kingdom
160,Argentina
666,Israel
652,Syria
483,Chad
620,Libya
816,Vietnam
710,China
690,Kuwait
2,United States of America
20,Canada
200,United Kingdom
325,Italy
600,Morocco
645,Iraq
651,Egypt
698,Oman
220,France
696,United Arab Emirates
694,Qatar
670,Saudi Arabia
652,Syria
344,Croatia
346,Bosnia
345,Yugoslavia
373,Azerbaijan
371,Armenia
130,Ecuador
135,Peru
531,Eritrea
530,Ethiopia
640,Turkey
325,Italy
200,United Kingdom
2,United States of America
210,Netherlands
220,France
345,Yugoslavia
255,Germany
750,India
770,Pakistan
20,Canada
220,France
200,United Kingdom
2,United States of America
900,Australia
700,Afghanistan
900,Australia
200,United Kingdom
2,United States of America
645,Iraq
